geo,iso3,year,learning,learning_percentile,ef_percentile,gap_pct
DK,DNK,2022,64.84,0.125,,
ES,ESP,2022,83.72,0.40625,,
EE,EST,2022,81.11999999999999,0.3125,,
FI,FIN,2022,95.97999999999999,0.6875,,
FR,FRA,2022,98.26,0.8125,,
HR,HRV,2022,94.86,0.65625,,
HU,HUN,2022,71.88,0.1875,,
IE,IRL,2022,0.0,0.03125,,
IS,ISL,2022,87.44999999999999,0.4375,,
IT,ITA,2022,93.06,0.5625,,
LI,LIE,2022,100.0,0.96875,,
LT,LTU,2022,81.2,0.34375,,
LU,LUX,2022,57.720000000000006,0.0625,,
LV,LVA,2022,90.97999999999999,0.46875,,
MK,MKD,2022,100.0,0.96875,,
MT,MLT,2022,100.0,0.96875,,
NL,NLD,2022,78.14,0.28125,,
NO,NOR,2022,58.0,0.09375,,
PL,POL,2022,96.67999999999999,0.71875,,
PT,PRT,2022,76.6,0.25,,
RO,ROU,2022,97.44,0.75,,
RS,SRB,2022,97.66,0.78125,,
SK,SVK,2022,94.46000000000001,0.625,,
SI,SVN,2022,93.47999999999999,0.59375,,
SE,SWE,2022,98.96000000000001,0.875,,
AT,AUT,2023,98.56,0.8709677419354839,,
BE,BEL,2023,67.17999999999999,0.16129032258064516,,
BG,BGR,2023,79.16,0.3225806451612903,,
BA,BIH,2023,91.24,0.5161290322580645,,
CY,CYP,2023,96.3,0.7096774193548387,,
CZ,CZE,2023,92.96000000000001,0.5483870967741935,,
DE,DEU,2023,73.88,0.22580645161290322,,
DK,DNK,2023,65.22,0.12903225806451613,,
ES,ESP,2023,83.94,0.41935483870967744,,
EE,EST,2023,83.03999999999999,0.3870967741935484,,
FI,FIN,2023,96.42,0.7419354838709677,,
FR,FRA,2023,98.35999999999999,0.8387096774193549,,
HR,HRV,2023,94.84,0.6451612903225806,,
HU,HUN,2023,72.76,0.1935483870967742,,
IE,IRL,2023,0.0,0.03225806451612903,,
IS,ISL,2023,87.55,0.45161290322580644,,
IT,ITA,2023,95.97999999999999,0.6774193548387096,,
LT,LTU,2023,81.74,0.3548387096774194,,
LU,LUX,2023,60.379999999999995,0.0967741935483871,,
LV,LVA,2023,90.8,0.4838709677419355,,
MK,MKD,2023,100.0,0.9838709677419355,,
MT,MLT,2023,100.0,0.9838709677419355,,
NL,NLD,2023,77.9,0.2903225806451613,,
NO,NOR,2023,58.120000000000005,0.06451612903225806,,
PL,POL,2023,96.96000000000001,0.7741935483870968,,
PT,PRT,2023,75.74000000000001,0.25806451612903225,,
RO,ROU,2023,97.46,0.8064516129032258,,
RS,SRB,2023,98.74,0.9032258064516129,,
SK,SVK,2023,94.0,0.5806451612903226,,
SI,SVN,2023,94.56,0.6129032258064516,,
SE,SWE,2023,98.94,0.9354838709677419,,
AL,ALB,2024,96.43333333333334,0.6451612903225806,,
AT,AUT,2024,98.72,0.9032258064516129,,
BE,BEL,2024,71.92,0.16129032258064516,,
BG,BGR,2024,78.84,0.3225806451612903,,
BA,BIH,2024,92.1,0.5161290322580645,,
CY,CYP,2024,97.1,0.6774193548387096,,
DE,DEU,2024,73.88,0.22580645161290322,,
DK,DNK,2024,64.47999999999999,0.12903225806451613,,
ES,ESP,2024,83.84,0.41935483870967744,,
EE,EST,2024,80.6,0.3870967741935484,,
FI,FIN,2024,97.2,0.7419354838709677,,
FR,FRA,2024,98.42,0.8709677419354839,,
HR,HRV,2024,94.6,0.5806451612903226,,
HU,HUN,2024,73.28,0.1935483870967742,,
IE,IRL,2024,0.0,0.03225806451612903,,
IT,ITA,2024,97.88,0.8225806451612904,,
LT,LTU,2024,79.47999999999999,0.3548387096774194,,
LU,LUX,2024,57.620000000000005,0.06451612903225806,,
LV,LVA,2024,91.9,0.4838709677419355,,
MK,MKD,2024,99.96666666666665,1.0,,
MT,MLT,2024,99.6,0.967741935483871,,
NL,NLD,2024,77.8,0.2903225806451613,,
NO,NOR,2024,57.96,0.0967741935483871,,
PL,POL,2024,97.16,0.7096774193548387,,
PT,PRT,2024,75.86,0.25806451612903225,,
RO,ROU,2024,97.62,0.7741935483870968,,
RS,SRB,2024,97.88,0.8225806451612904,,
SK,SVK,2024,94.0,0.5483870967741935,,
SI,SVN,2024,95.46000000000001,0.6129032258064516,,
SE,SWE,2024,98.86,0.9354838709677419,,
UA,UKR,2024,84.43333333333334,0.45161290322580644,,
